ADHOME = D:\SVN\ad2005
jaso2jh() wrong!8861 -  2 3 1
B5F8 17A1 µø ¤§ ¤Ó ¤¶   5 29 22 µð 0 00000000
B5F9 17A1 µù ¤§ ¤Ó ¤·   5 29 23 µð 0 00000000
B5FA 17A1 µú ¤§ ¤Ó ¤¸   5 29 24 µð 0 00000000
B5FB 1861 µû ¤¨ ¤¿      6  3  1 µû 0 00000002
B5FC 1861 µü ¤¨ ¤¿ ¤¡   6  3  2 µû 0 00000000
B5FD 1861 µý ¤¨ ¤¿ ¤¤   6  3  5 µû 0 00000000
B5FE 1861 µþ ¤¨ ¤¿ ¤©   6  3  9 µû 0 00000000
B6A1 1861 ¶¡ ¤¨ ¤¿ ¤±   6  3 17 µû 0 00000000
B6A2 1861 ¶¢ ¤¨ ¤¿ ¤²   6  3 19 µû 0 00000000
B6A3 1861 ¶£ ¤¨ ¤¿ ¤µ   6  3 21 µû 0 00000000
B6A4 1861 ¶¤ ¤¨ ¤¿ ¤¶   6  3 22 µû 0 00000000
B6A5 1861 ¶¥ ¤¨ ¤¿ ¤·   6  3 23 µû 0 00000000
B6A6 1861 ¶¦ ¤¨ ¤¿ ¤¾   6  3 29 µû 0 00000000
B6A7 1881 ¶§ ¤¨ ¤À      6  4  1 ¶§ 0 00000000
B6A8 1881 ¶¨ ¤¨ ¤À ¤¡   6  4  2 ¶§ 0 00000000
B6A9 1881 ¶© ¤¨ ¤À ¤¤   6  4  5 ¶§ 0 00000000
B6AA 1881 ¶ª ¤¨ ¤À ¤©   6  4  9 ¶§ 0 00000000
B6AB 1881 ¶« ¤¨ ¤À ¤±   6  4 17 ¶§ 0 00000000
B6AC 1881 ¶¬ ¤¨ ¤À ¤²   6  4 19 ¶§ 0 00000000
B6AD 1881 ¶­ ¤¨ ¤À ¤µ   6  4 21 ¶§ 0 00000000
B6AE 1881 ¶® ¤¨ ¤À ¤¶   6  4 22 ¶§ 0 00000000
B6AF 1881 ¶¯ ¤¨ ¤À ¤·   6  4 23 ¶§ 0 00000000
B6B0 18E1 ¶° ¤¨ ¤Ã      6  7  1 ¶° 0 00000000
B6B1 18E1 ¶± ¤¨ ¤Ã ¤¡   6  7  2 ¶° 0 00000000
B6B2 18E1 ¶² ¤¨ ¤Ã ¤¤   6  7  5 ¶° 0 00000000
B6B3 18E1 ¶³ ¤¨ ¤Ã ¤©   6  7  9 ¶° 0 00000000
B6B4 18E1 ¶´ ¤¨ ¤Ã ¤«   6  7 11 ¶° 0 00000000
B6B5 18E1 ¶µ ¤¨ ¤Ã ¤¬   6  7 12 ¶° 0 00000000
B6B6 18E1 ¶¶ ¤¨ ¤Ã ¤±   6  7 17 ¶° 0 00000000
B6B7 18E1 ¶· ¤¨ ¤Ã ¤²   6  7 19 ¶° 0 00000000
B6B8 18E1 ¶¸ ¤¨ ¤Ã ¤µ   6  7 21 ¶° 0 00000000
B6B9 18E1 ¶¹ ¤¨ ¤Ã ¤¶   6  7 22 ¶° 0 00000000
B6BA 18E1 ¶º ¤¨ ¤Ã ¤·   6  7 23 ¶° 0 00000000
B6BB 18E1 ¶» ¤¨ ¤Ã ¤¾   6  7 29 ¶° 0 00000000
B6BC 1941 ¶¼ ¤¨ ¤Ä      6 10  1 ¶¼ 0 00000000
B6BD 1941 ¶½ ¤¨ ¤Ä ¤¡   6 10  2 ¶¼ 0 00000000
B6BE 1941 ¶¾ ¤¨ ¤Ä ¤¤   6 10  5 ¶¼ 0 00000000
B6BF 1941 ¶¿ ¤¨ ¤Ä ¤©   6 10  9 ¶¼ 0 00000000
B6C0 1941 ¶À ¤¨ ¤Ä ¤±   6 10 17 ¶¼ 0 00000000
B6C1 1941 ¶Á ¤¨ ¤Ä ¤²   6 10 19 ¶¼ 0 00000000
B6C2 1941 ¶Â ¤¨ ¤Ä ¤µ   6 10 21 ¶¼ 0 00000000
B6C3 1941 ¶Ã ¤¨ ¤Ä ¤¶   6 10 22 ¶¼ 0 00000000
B6C4 1941 ¶Ä ¤¨ ¤Ä ¤·   6 10 23 ¶¼ 0 00000000
B6C5 1961 ¶Å ¤¨ ¤Å      6 11  1 ¶Å 0 00000000
B6C6 1961 ¶Æ ¤¨ ¤Å ¤¶   6 11 22 ¶Å 0 00000000
B6C7 19A1 ¶Ç ¤¨ ¤Ç      6 13  1 ¶Ç 0 00000000
B6C8 19A1 ¶È ¤¨ ¤Ç ¤¡   6 13  2 ¶Ç 0 00000000
B6C9 19A1 ¶É ¤¨ ¤Ç ¤¤   6 13  5 ¶Ç 0 00000000
B6CA 19A1 ¶Ê ¤¨ ¤Ç ¤©   6 13  9 ¶Ç 0 00000000
B6CB 19A1 ¶Ë ¤¨ ¤Ç ¤·   6 13 23 ¶Ç 0 00000000
B6CC 19C1 ¶Ì ¤¨ ¤È      6 14  1 ¶Ì 0 00000000
B6CD 19C1 ¶Í ¤¨ ¤È ¤©   6 14  9 ¶Ì 0 00000000
B6CE 19E1 ¶Î ¤¨ ¤É      6 15  1 ¶Î 0 00000000
B6CF 1A41 ¶Ï ¤¨ ¤Ê      6 18  1 ¶Ï 0 00000000
B6D0 1A41 ¶Ð ¤¨ ¤Ê ¤¤   6 18  5 ¶Ï 0 00000000
B6D1 1A81 ¶Ñ ¤¨ ¤Ì      6 20  1 ¶Ñ 0 00000000
B6D2 1A81 ¶Ò ¤¨ ¤Ì ¤¡   6 20  2 ¶Ñ 0 00000000
B6D3 1A81 ¶Ó ¤¨ ¤Ì ¤¤   6 20  5 ¶Ñ 0 00000000
B6D4 1A81 ¶Ô ¤¨ ¤Ì ¤©   6 20  9 ¶Ñ 0 00000000
B6D5 1A81 ¶Õ ¤¨ ¤Ì ¤°   6 20 16 ¶Ñ 0 00000000
B6D6 1A81 ¶Ö ¤¨ ¤Ì ¤±   6 20 17 ¶Ñ 0 00000000
B6D7 1A81 ¶× ¤¨ ¤Ì ¤·   6 20 23 ¶Ñ 0 00000000
B6D8 1AC1 ¶Ø ¤¨ ¤Î      6 22  1 ¶Ø 0 00000000
B6D9 1AE1 ¶Ù ¤¨ ¤Ï      6 23  1 ¶Ù 0 00000000
B6DA 1AE1 ¶Ú ¤¨ ¤Ï ¤¤   6 23  5 ¶Ù 0 00000000
B6DB 1AE1 ¶Û ¤¨ ¤Ï ¤©   6 23  9 ¶Ù 0 00000000
B6DC 1AE1 ¶Ü ¤¨ ¤Ï ¤±   6 23 17 ¶Ù 0 00000000
B6DD 1AE1 ¶Ý ¤¨ ¤Ï ¤²   6 23 19 ¶Ù 0 00000000
B6DE 1AE1 ¶Þ ¤¨ ¤Ï ¤·   6 23 23 ¶Ù 0 00000000
B6DF 1B61 ¶ß ¤¨ ¤Ñ      6 27  1 ¶ß 0 00000000
B6E0 1B61 ¶à ¤¨ ¤Ñ ¤¡   6 27  2 ¶ß 0 00000000
B6E1 1B61 ¶á ¤¨ ¤Ñ ¤¤   6 27  5 ¶ß 0 00000000
B6E2 1B61 ¶â ¤¨ ¤Ñ ¤§   6 27  8 ¶ß 0 00000000
B6E3 1B61 ¶ã ¤¨ ¤Ñ ¤©   6 27  9 ¶ß 0 00000000
B6E4 1B61 ¶ä ¤¨ ¤Ñ ¤±   6 27 17 ¶ß 0 00000000
B6E5 1B61 ¶å ¤¨ ¤Ñ ¤²   6 27 19 ¶ß 0 00000000
B6E6 1B61 ¶æ ¤¨ ¤Ñ ¤µ   6 27 21 ¶ß 0 00000000
B6E7 1B81 ¶ç ¤¨ ¤Ò      6 28  1 ¶ç 0 00000000
B6E8 1B81 ¶è ¤¨ ¤Ò ¤¤   6 28  5 ¶ç 0 00000000
B6E9 1B81 ¶é ¤¨ ¤Ò ¤©   6 28  9 ¶ç 0 00000000
B6EA 1B81 ¶ê ¤¨ ¤Ò ¤±   6 28 17 ¶ç 0 00000000
B6EB 1B81 ¶ë ¤¨ ¤Ò ¤²   6 28 19 ¶ç 0 00000000
B6EC 1BA1 ¶ì ¤¨ ¤Ó      6 29  1 ¶ì 0 00000000
B6ED 1BA1 ¶í ¤¨ ¤Ó ¤¤   6 29  5 ¶ì 0 00000000
B6EE 1BA1 ¶î ¤¨ ¤Ó ¤©   6 29  9 ¶ì 0 00000000
B6EF 1BA1 ¶ï ¤¨ ¤Ó ¤±   6 29 17 ¶ì 0 00000000
B6F0 1BA1 ¶ð ¤¨ ¤Ó ¤²   6 29 19 ¶ì 0 00000000
B6F1 1BA1 ¶ñ ¤¨ ¤Ó ¤µ   6 29 21 ¶ì 0 00000000
B6F2 1BA1 ¶ò ¤¨ ¤Ó ¤·   6 29 23 ¶ì 0 00000000
B6F3 1C61 ¶ó ¤© ¤¿      7  3  1 ¶ó 0 0000000F
B6F4 1C61 ¶ô ¤© ¤¿ ¤¡   7  3  2 ¶ó 0 00000008
B6F5 1C61 ¶õ ¤© ¤¿ ¤¤   7  3  5 ¶ó 0 0000000C
B6F6 1C61 ¶ö ¤© ¤¿ ¤©   7  3  9 ¶ó 0 00000000
B6F7 1C61 ¶÷ ¤© ¤¿ ¤±   7  3 17 ¶ó 0 0000000C
B6F8 1C61 ¶ø ¤© ¤¿ ¤²   7  3 19 ¶ó 0 0000000C
B6F9 1C61 ¶ù ¤© ¤¿ ¤µ   7  3 21 ¶ó 0 00000000
B6FA 1C61 ¶ú ¤© ¤¿ ¤¶   7  3 22 ¶ó 0 00000000
B6FB 1C61 ¶û ¤© ¤¿ ¤·   7  3 23 ¶ó 0 00000003
B6FC 1C61 ¶ü ¤© ¤¿ ¤¸   7  3 24 ¶ó 0 00000000
B6FD 1C61 ¶ý ¤© ¤¿ ¤½   7  3 28 ¶ó 0 00000000
B6FE 1C61 ¶þ ¤© ¤¿ ¤¾   7  3 29 ¶ó 0 00000000
B7A1 1C81 ·¡ ¤© ¤À      7  4  1 ·¡ 0 0000000C
B7A2 1C81 ·¢ ¤© ¤À ¤¡   7  4  2 ·¡ 0 00000000
B7A3 1C81 ·£ ¤© ¤À ¤¤   7  4  5 ·¡ 0 00000000
B7A4 1C81 ·¤ ¤© ¤À ¤©   7  4  9 ·¡ 0 00000000
B7A5 1C81 ·¥ ¤© ¤À ¤±   7  4 17 ·¡ 0 00000000
B7A6 1C81 ·¦ ¤© ¤À ¤²   7  4 19 ·¡ 0 00000000
B7A7 1C81 ·§ ¤© ¤À ¤µ   7  4 21 ·¡ 0 00000000
B7A8 1C81 ·¨ ¤© ¤À ¤¶   7  4 22 ·¡ 0 00000000
B7A9 1C81 ·© ¤© ¤À ¤·   7  4 23 ·¡ 0 00000000
B7AA 1CA1 ·ª ¤© ¤Á      7  5  1 ·ª 0 0000000C
B7AB 1CA1 ·« ¤© ¤Á ¤¡   7  5  2 ·ª 0 00000000
B7AC 1CA1 ·¬ ¤© ¤Á ¤¤   7  5  5 ·ª 0 00000000
B7AD 1CA1 ·­ ¤© ¤Á ¤µ   7  5 21 ·ª 0 00000000
B7AE 1CA1 ·® ¤© ¤Á ¤·   7  5 23 ·ª 0 00000000
B7AF 1CE1 ·¯ ¤© ¤Ã      7  7  1 ·¯ 0 0000000E
B7B0 1CE1 ·° ¤© ¤Ã ¤¡   7  7  2 ·¯ 0 00000000
B7B1 1CE1 ·± ¤© ¤Ã ¤¤   7  7  5 ·¯ 0 0000000C
B7B2 1CE1 ·² ¤© ¤Ã ¤©   7  7  9 ·¯ 0 00000000
B7B3 1CE1 ·³ ¤© ¤Ã ¤±   7  7 17 ·¯ 0 00000002
B7B4 1CE1 ·´ ¤© ¤Ã ¤²   7  7 19 ·¯ 0 00000000
B7B5 1CE1 ·µ ¤© ¤Ã ¤µ   7  7 21 ·¯ 0 00000000
B7B6 1CE1 ·¶ ¤© ¤Ã ¤¶   7  7 22 ·¯ 0 00000000
B7B7 1CE1 ·· ¤© ¤Ã ¤·   7  7 23 ·¯ 0 00000000
B7B8 1CE1 ·¸ ¤© ¤Ã ¤¾   7  7 29 ·¯ 0 00000000
B7B9 1D41 ·¹ ¤© ¤Ä      7 10  1 ·¹ 0 00000008
B7BA 1D41 ·º ¤© ¤Ä ¤¡   7 10  2 ·¹ 0 00000000
B7BB 1D41 ·» ¤© ¤Ä ¤¤   7 10  5 ·¹ 0 00000000
B7BC 1D41 ·¼ ¤© ¤Ä ¤©   7 10  9 ·¹ 0 00000000
B7BD 1D41 ·½ ¤© ¤Ä ¤±   7 10 17 ·¹ 0 00000000
B7BE 1D41 ·¾ ¤© ¤Ä ¤²   7 10 19 ·¹ 0 00000000
B7BF 1D41 ·¿ ¤© ¤Ä ¤µ   7 10 21 ·¹ 0 00000000
B7C0 1D41 ·À ¤© ¤Ä ¤·   7 10 23 ·¹ 0 00000000
B7C1 1D61 ·Á ¤© ¤Å      7 11  1 ·Á 0 0000000C
B7C2 1D61 ·Â ¤© ¤Å ¤¡   7 11  2 ·Á 0 00000000
B7C3 1D61 ·Ã ¤© ¤Å ¤¤   7 11  5 ·Á 0 0000000C
B7C4 1D61 ·Ä ¤© ¤Å ¤©   7 11  9 ·Á 0 00000000
B7C5 1D61 ·Å ¤© ¤Å ¤±   7 11 17 ·Á 0 0000000C
B7C6 1D61 ·Æ ¤© ¤Å ¤²   7 11 19 ·Á 0 00000008
B7C7 1D61 ·Ç ¤© ¤Å ¤µ   7 11 21 ·Á 0 0000000C
B7C8 1D61 ·È ¤© ¤Å ¤¶   7 11 22 ·Á 0 00000000
B7C9 1D61 ·É ¤© ¤Å ¤·   7 11 23 ·Á 0 00000000
B7CA 1D81 ·Ê ¤© ¤Æ      7 12  1 ·Ê 0 00000000
B7CB 1D81 ·Ë ¤© ¤Æ ¤¤   7 12  5 ·Ê 0 00000000
B7CC 1D81 ·Ì ¤© ¤Æ ¤²   7 12 19 ·Ê 0 00000000
B7CD 1D81 ·Í ¤© ¤Æ ¤µ   7 12 21 ·Ê 0 00000000
B7CE 1DA1 ·Î ¤© ¤Ç      7 13  1 ·Î 0 0000000B
B7CF 1DA1 ·Ï ¤© ¤Ç ¤¡   7 13  2 ·Î 0 0000000A
B7D0 1DA1 ·Ð ¤© ¤Ç ¤¤   7 13  5 ·Î 0 00000002
B7D1 1DA1 ·Ñ ¤© ¤Ç ¤©   7 13  9 ·Î 0 00000000
B7D2 1DA1 ·Ò ¤© ¤Ç ¤±   7 13 17 ·Î 0 00000000
B7D3 1DA1 ·Ó ¤© ¤Ç ¤²   7 13 19 ·Î 0 00000000
B7D4 1DA1 ·Ô ¤© ¤Ç ¤µ   7 13 21 ·Î 0 00000000
B7D5 1DA1 ·Õ ¤© ¤Ç ¤·   7 13 23 ·Î 0 00000000
B7D6 1DC1 ·Ö ¤© ¤È      7 14  1 ·Ö 0 00000000
B7D7 1DC1 ·× ¤© ¤È ¤¤   7 14  5 ·Ö 0 00000000
B7D8 1DC1 ·Ø ¤© ¤È ¤·   7 14 23 ·Ö 0 00000000
B7D9 1DE1 ·Ù ¤© ¤É ¤¶   7 15 22 ¶Î 0 00000000
B7DA 1E41 ·Ú ¤© ¤Ê      7 18  1 ·Ú 0 00000000
B7DB 1E41 ·Û ¤© ¤Ê ¤¤   7 18  5 ·Ú 0 00000000
B7DC 1E41 ·Ü ¤© ¤Ê ¤©   7 18  9 ·Ú 0 00000000
B7DD 1E41 ·Ý ¤© ¤Ê ¤±   7 18 17 ·Ú 0 00000000
B7DE 1E41 ·Þ ¤© ¤Ê ¤²   7 18 19 ·Ú 0 00000000
B7DF 1E41 ·ß ¤© ¤Ê ¤µ   7 18 21 ·Ú 0 00000000
B7E0 1E41 ·à ¤© ¤Ê ¤·   7 18 23 ·Ú 0 00000000
B7E1 1E61 ·á ¤© ¤Ë      7 19  1 ·á 0 00000008
B7E2 1E61 ·â ¤© ¤Ë ¤¤   7 19  5 ·á 0 00000000
B7E3 1E61 ·ã ¤© ¤Ë ¤©   7 19  9 ·á 0 00000000
B7E4 1E61 ·ä ¤© ¤Ë ¤²   7 19 19 ·á 0 00000000
B7E5 1E61 ·å ¤© ¤Ë ¤µ   7 19 21 ·á 0 00000000
B7E6 1E61 ·æ ¤© ¤Ë ¤·   7 19 23 ·á 0 00000000
B7E7 1E81 ·ç ¤© ¤Ì      7 20  1 ·ç 0 00000000
B7E8 1E81 ·è ¤© ¤Ì ¤¡   7 20  2 ·ç 0 00000000
B7E9 1E81 ·é ¤© ¤Ì ¤¤   7 20  5 ·ç 0 00000000
B7EA 1E81 ·ê ¤© ¤Ì ¤©   7 20  9 ·ç 0 00000000
B7EB 1E81 ·ë ¤© ¤Ì ¤±   7 20 17 ·ç 0 00000000
B7EC 1E81 ·ì ¤© ¤Ì ¤²   7 20 19 ·ç 0 00000000
B7ED 1E81 ·í ¤© ¤Ì ¤µ   7 20 21 ·ç 0 00000000
B7EE 1E81 ·î ¤© ¤Ì ¤·   7 20 23 ·ç 0 00000000
B7EF 1EA1 ·ï ¤© ¤Í      7 21  1 ·ï 0 00000000
B7F0 1EA1 ·ð ¤© ¤Í ¤¶   7 21 22 ·ï 0 00000000
B7F1 1EC1 ·ñ ¤© ¤Î      7 22  1 ·ñ 0 00000000
B7F2 1EE1 ·ò ¤© ¤Ï      7 23  1 ·ò 0 00000000
B7F3 1EE1 ·ó ¤© ¤Ï ¤¡   7 23  2 ·ò 0 00000000
B7F4 1EE1 ·ô ¤© ¤Ï ¤¤   7 23  5 ·ò 0 00000000
B7F5 1EE1 ·õ ¤© ¤Ï ¤©   7 23  9 ·ò 0 00000000
B7F6 1EE1 ·ö ¤© ¤Ï ¤±   7 23 17 ·ò 0 00000000
B7F7 1EE1 ·÷ ¤© ¤Ï ¤µ   7 23 21 ·ò 0 00000000
B7F8 1EE1 ·ø ¤© ¤Ï ¤·   7 23 23 ·ò 0 00000000
B7F9 1F41 ·ù ¤© ¤Ð      7 26  1 ·ù 0 00000000
B7FA 1F41 ·ú ¤© ¤Ð ¤¡   7 26  2 ·ù 0 00000000
B7FB 1F41 ·û ¤© ¤Ð ¤¤   7 26  5 ·ù 0 00000000
B7FC 1F41 ·ü ¤© ¤Ð ¤©   7 26  9 ·ù 0 00000000
B7FD 1F41 ·ý ¤© ¤Ð ¤±   7 26 17 ·ù 0 00000000
B7FE 1F41 ·þ ¤© ¤Ð ¤²   7 26 19 ·ù 0 00000000
B8A1 1F41 ¸¡ ¤© ¤Ð ¤µ   7 26 21 ·ù 0 00000000
B8A2 1F41 ¸¢ ¤© ¤Ð ¤·   7 26 23 ·ù 0 00000000
B8A3 1F61 ¸£ ¤© ¤Ñ      7 27  1 ¸£ 0 00000000
B8A4 1F61 ¸¤ ¤© ¤Ñ ¤¡   7 27  2 ¸£ 0 00000000
B8A5 1F61 ¸¥ ¤© ¤Ñ ¤¤   7 27  5 ¸£ 0 00000000
B8A6 1F61 ¸¦ ¤© ¤Ñ ¤©   7 27  9 ¸£ 0 0000000B
B8A7 1F61 ¸§ ¤© ¤Ñ ¤±   7 27 17 ¸£ 0 00000000
B8A8 1F61 ¸¨ ¤© ¤Ñ ¤²   7 27 19 ¸£ 0 00000000
B8A9 1F61 ¸© ¤© ¤Ñ ¤µ   7 27 21 ¸£ 0 00000000
B8AA 1F61 ¸ª ¤© ¤Ñ ¤·   7 27 23 ¸£ 0 00000000
B8AB 1F61 ¸« ¤© ¤Ñ ¤¸   7 27 24 ¸£ 0 00000000
B8AC 1F61 ¸¬ ¤© ¤Ñ ¤¼   7 27 27 ¸£ 0 00000000
B8AD 1F61 ¸­ ¤© ¤Ñ ¤½   7 27 28 ¸£ 0 00000000
B8AE 1FA1 ¸® ¤© ¤Ó      7 29  1 ¸® 0 0000000C
B8AF 1FA1 ¸¯ ¤© ¤Ó ¤¡   7 29  2 ¸® 0 00000000
B8B0 1FA1 ¸° ¤© ¤Ó ¤¤   7 29  5 ¸® 0 00000000
B8B1 1FA1 ¸± ¤© ¤Ó ¤©   7 29  9 ¸® 0 00000000
B8B2 1FA1 ¸² ¤© ¤Ó ¤±   7 29 17 ¸® 0 00000000
B8B3 1FA1 ¸³ ¤© ¤Ó ¤²   7 29 19 ¸® 0 00000000
B8B4 1FA1 ¸´ ¤© ¤Ó ¤µ   7 29 21 ¸® 0 00000000
B8B5 1FA1 ¸µ ¤© ¤Ó ¤·   7 29 23 ¸® 0 00000000
B8B6 2061 ¸¶ ¤± ¤¿      8  3  1 ¸¶ 0 0000000F
B8B7 2061 ¸· ¤± ¤¿ ¤¡   8  3  2 ¸¶ 0 00000000
B8B8 2061 ¸¸ ¤± ¤¿ ¤¤   8  3  5 ¸¶ 0 0000000B
B8B9 2061 ¸¹ ¤± ¤¿ ¤¦   8  3  7 ¸¶ 0 00000000
B8BA 2061 ¸º ¤± ¤¿ ¤§   8  3  8 ¸¶ 0 00000000
B8BB 2061 ¸» ¤± ¤¿ ¤©   8  3  9 ¸¶ 0 0000000B
B8BC 2061 ¸¼ ¤± ¤¿ ¤ª   8  3 10 ¸¶ 0 00000000
B8BD 2061 ¸½ ¤± ¤¿ ¤«   8  3 11 ¸¶ 0 00000000
B8BE 2061 ¸¾ ¤± ¤¿ ¤±   8  3 17 ¸¶ 0 00000000
B8BF 2061 ¸¿ ¤± ¤¿ ¤²   8  3 19 ¸¶ 0 00000000
B8C0 2061 ¸À ¤± ¤¿ ¤µ   8  3 21 ¸¶ 0 00000000
B8C1 2061 ¸Á ¤± ¤¿ ¤·   8  3 23 ¸¶ 0 00000008
B8C2 2061 ¸Â ¤± ¤¿ ¤¸   8  3 24 ¸¶ 0 00000000
B8C3 2061 ¸Ã ¤± ¤¿ ¤¼   8  3 27 ¸¶ 0 00000000
B8C4 2061 ¸Ä ¤± ¤¿ ¤¾   8  3 29 ¸¶ 0 00000000
B8C5 2081 ¸Å ¤± ¤À      8  4  1 ¸Å 0 0000000C
B8C6 2081 ¸Æ ¤± ¤À ¤¡   8  4  2 ¸Å 0 00000000
B8C7 2081 ¸Ç ¤± ¤À ¤¤   8  4  5 ¸Å 0 00000000
B8C8 2081 ¸È ¤± ¤À ¤©   8  4  9 ¸Å 0 00000000
B8C9 2081 ¸É ¤± ¤À ¤±   8  4 17 ¸Å 0 00000000
B8CA 2081 ¸Ê ¤± ¤À ¤²   8  4 19 ¸Å 0 00000000
B8CB 2081 ¸Ë ¤± ¤À ¤µ   8  4 21 ¸Å 0 00000000
B8CC 2081 ¸Ì ¤± ¤À ¤¶   8  4 22 ¸Å 0 00000000
B8CD 2081 ¸Í ¤± ¤À ¤·   8  4 23 ¸Å 0 00000000
B8CE 2081 ¸Î ¤± ¤À ¤¸   8  4 24 ¸Å 0 00000000
B8CF 20A1 ¸Ï ¤± ¤Á      8  5  1 ¸Ï 0 00000000
B8D0 20A1 ¸Ð ¤± ¤Á ¤¡   8  5  2 ¸Ï 0 00000000
B8D1 20A1 ¸Ñ ¤± ¤Á ¤©   8  5  9 ¸Ï 0 00000000
B8D2 20A1 ¸Ò ¤± ¤Á ¤·   8  5 23 ¸Ï 0 00000000
B8D3 20E1 ¸Ó ¤± ¤Ã      8  7  1 ¸Ó 0 00000000
B8D4 20E1 ¸Ô ¤± ¤Ã ¤¡   8  7  2 ¸Ó 0 00000000
B8D5 20E1 ¸Õ ¤± ¤Ã ¤¤   8  7  5 ¸Ó 0 00000008
B8D6 20E1 ¸Ö ¤± ¤Ã ¤©   8  7  9 ¸Ó 0 00000000
B8D7 20E1 ¸× ¤± ¤Ã ¤«   8  7 11 ¸Ó 0 00000000
B8D8 20E1 ¸Ø ¤± ¤Ã ¤±   8  7 17 ¸Ó 0 00000000
B8D9 20E1 ¸Ù ¤± ¤Ã ¤²   8  7 19 ¸Ó 0 00000000
B8DA 20E1 ¸Ú ¤± ¤Ã ¤µ   8  7 21 ¸Ó 0 00000000
B8DB 20E1 ¸Û ¤± ¤Ã ¤·   8  7 23 ¸Ó 0 00000000
B8DC 20E1 ¸Ü ¤± ¤Ã ¤¸   8  7 24 ¸Ó 0 00000000
B8DD 20E1 ¸Ý ¤± ¤Ã ¤¾   8  7 29 ¸Ó 0 00000000
B8DE 2141 ¸Þ ¤± ¤Ä      8 10  1 ¸Þ 0 00000000
B8DF 2141 ¸ß ¤± ¤Ä ¤¡   8 10  2 ¸Þ 0 00000000
B8E0 2141 ¸à ¤± ¤Ä ¤¤   8 10  5 ¸Þ 0 00000000
B8E1 2141 ¸á ¤± ¤Ä ¤©   8 10  9 ¸Þ 0 00000000
B8E2 2141 ¸â ¤± ¤Ä ¤±   8 10 17 ¸Þ 0 00000000
B8E3 2141 ¸ã ¤± ¤Ä ¤²   8 10 19 ¸Þ 0 00000000
B8E4 2141 ¸ä ¤± ¤Ä ¤µ   8 10 21 ¸Þ 0 00000000
B8E5 2141 ¸å ¤± ¤Ä ¤¶   8 10 22 ¸Þ 0 00000000
B8E6 2141 ¸æ ¤± ¤Ä ¤·   8 10 23 ¸Þ 0 00000000
B8E7 2161 ¸ç ¤± ¤Å      8 11  1 ¸ç 0 0000000F
B8E8 2161 ¸è ¤± ¤Å ¤¡   8 11  2 ¸ç 0 00000000
B8E9 2161 ¸é ¤± ¤Å ¤¤   8 11  5 ¸ç 0 0000000C
B8EA 2161 ¸ê ¤± ¤Å ¤©   8 11  9 ¸ç 0 00000000
B8EB 2161 ¸ë ¤± ¤Å ¤µ   8 11 21 ¸ç 0 00000000
B8EC 2161 ¸ì ¤± ¤Å ¤¶   8 11 22 ¸ç 0 00000000
B8ED 2161 ¸í ¤± ¤Å ¤·   8 11 23 ¸ç 0 00000000
B8EE 2161 ¸î ¤± ¤Å ¤º   8 11 25 ¸ç 0 00000000
B8EF 2181 ¸ï ¤± ¤Æ      8 12  1 ¸ï 0 00000000
B8F0 21A1 ¸ð ¤± ¤Ç      8 13  1 ¸ð 0 00000000
B8F1 21A1 ¸ñ ¤± ¤Ç ¤¡   8 13  2 ¸ð 0 00000000
B8F2 21A1 ¸ò ¤± ¤Ç ¤£   8 13  4 ¸ð 0 00000000
B8F3 21A1 ¸ó ¤± ¤Ç ¤¤   8 13  5 ¸ð 0 00000000
B8F4 21A1 ¸ô ¤± ¤Ç ¤©   8 13  9 ¸ð 0 00000000
B8F5 21A1 ¸õ ¤± ¤Ç ¤«   8 13 11 ¸ð 0 00000000
B8F6 21A1 ¸ö ¤± ¤Ç ¤±   8 13 17 ¸ð 0 00000000
B8F7 21A1 ¸÷ ¤± ¤Ç ¤²   8 13 19 ¸ð 0 00000000
B8F8 21A1 ¸ø ¤± ¤Ç ¤µ   8 13 21 ¸ð 0 00000000
B8F9 21A1 ¸ù ¤± ¤Ç ¤·   8 13 23 ¸ð 0 00000000
B8FA 21C1 ¸ú ¤± ¤È      8 14  1 ¸ú 0 00000000
B8FB 21C1 ¸û ¤± ¤È ¤¤   8 14  5 ¸ú 0 00000000
B8FC 21C1 ¸ü ¤± ¤È ¤¶   8 14 22 ¸ú 0 00000000
B8FD 21C1 ¸ý ¤± ¤È ¤·   8 14 23 ¸ú 0 00000000
B8FE 2241 ¸þ ¤± ¤Ê      8 18  1 ¸þ 0 00000000
B9A1 2241 ¹¡ ¤± ¤Ê ¤¤   8 18  5 ¸þ 0 00000000
B9A2 2241 ¹¢ ¤± ¤Ê ¤©   8 18  9 ¸þ 0 00000000
B9A3 2241 ¹£ ¤± ¤Ê ¤²   8 18 19 ¸þ 0 00000000
B9A4 2241 ¹¤ ¤± ¤Ê ¤µ   8 18 21 ¸þ 0 00000000
B9A5 2241 ¹¥ ¤± ¤Ê ¤·   8 18 23 ¸þ 0 00000000
B9A6 2261 ¹¦ ¤± ¤Ë      8 19  1 ¹¦ 0 00000000
B9A7 2261 ¹§ ¤± ¤Ë ¤¤   8 19  5 ¹¦ 0 00000000
B9A8 2261 ¹¨ ¤± ¤Ë ¤©   8 19  9 ¹¦ 0 00000000
B9A9 2261 ¹© ¤± ¤Ë ¤²   8 19 19 ¹¦ 0 00000000
